b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
18,42,47,8,43,28,5,0,2,11,11,3364,35,0,5,6,347,1255,11,0,1,22,79,474,222,186
33,14,6,38,27,41,6,0,0,12,12,3365,0,1,6,7,348,1256,12,0,0,23,80,475,033,159
12,48,19,49,38,25,7,0,1,13,13,3366,1,0,7,8,349,1257,13,1,1,24,81,476,221,191
3,48,12,17,26,43,8,0,0,14,14,3367,2,1,8,9,350,1258,14,0,2,25,82,477,132,149
46,34,17,8,2,28,0,1,1,15,15,3368,3,0,0,10,351,1259,15,0,0,26,83,478,303,135
2,8,37,36,1,7,1,2,2,16,16,3369,4,0,0,11,352,1260,16,0,1,27,84,479,312,91
19,20,30,44,3,28,2,0,3,17,17,3370,5,0,1,12,353,1261,17,0,2,28,85,480,222,144
39,36,12,25,30,21,3,0,0,0,0,3371,6,1,2,13,354,1262,0,1,3,29,86,481,150,163
18,28,48,8,1,38,4,0,1,1,1,3372,7,0,3,14,355,1263,1,0,4,30,87,482,222,141
17,32,12,46,31,10,5,1,2,2,2,3373,8,0,0,15,356,1264,2,0,5,31,88,483,312,148
15,46,17,7,3,49,6,0,3,3,3,3374,9,0,1,16,357,1265,3,1,6,32,89,484,221,137
12,44,20,24,31,36,7,0,0,4,4,3375,10,1,2,17,358,1266,4,0,7,33,90,485,132,167
35,33,7,21,29,26,8,0,1,5,5,3376,11,2,3,18,359,1267,5,0,0,34,91,486,123,151
9,39,34,38,26,6,9,0,0,6,6,3377,12,3,4,19,360,1268,6,0,1,35,92,487,132,152
19,48,8,35,21,45,10,0,0,7,7,3378,13,4,5,20,361,1269,7,0,2,36,93,488,132,176
25,9,23,34,40,8,11,1,1,8,8,3379,14,0,0,21,362,1270,8,0,3,37,94,489,312,139
48,22,7,28,16,20,12,2,2,9,9,3380,15,0,0,0,363,1271,9,1,4,38,95,490,411,141
14,27,30,47,37,13,13,0,3,10,10,3381,16,0,1,1,364,1272,10,0,5,39,96,491,222,168
24,22,18,35,10,20,14,0,4,11,11,3382,17,0,2,2,365,1273,11,0,6,40,97,492,222,129
35,12,19,21,5,17,15,0,5,12,12,3383,18,1,3,3,366,1274,12,0,0,41,98,493,123,109
9,30,18,21,37,3,16,0,0,0,0,3384,19,2,4,4,367,1275,0,1,1,42,99,494,150,118
43,41,22,32,46,4,0,1,1,1,1,3385,20,0,0,0,368,1276,1,0,2,43,100,495,402,188
7,24,4,10,21,3,1,0,0,2,2,3386,21,0,0,1,369,1277,0,1,3,44,101,496,330,69
2,21,43,11,14,48,2,0,1,3,3,3387,22,1,1,2,370,1278,1,0,0,45,102,497,123,139
38,22,11,17,35,15,3,1,2,4,4,3388,23,2,2,3,371,1279,2,0,0,0,103,498,114,138
44,42,23,41,35,32,4,2,3,5,5,3389,0,3,3,4,372,1280,3,0,0,0,0,499,015,217
2,1,49,24,21,27,5,0,0,6,6,3390,1,4,4,5,373,1281,4,1,1,1,1,500,131,124
20,9,3,2,29,17,6,0,1,7,7,3391,0,5,5,6,374,1282,5,0,0,0,2,501,024,80
5,48,16,36,8,25,7,0,2,8,8,3392,1,0,6,7,375,1283,6,0,1,1,3,502,222,138
23,18,27,17,5,30,8,0,0,9,9,3393,0,1,7,8,376,1284,7,0,0,2,4,503,033,120
17,48,7,10,34,2,9,1,1,10,10,3394,1,0,0,9,377,1285,8,0,1,3,5,504,312,118
46,23,42,33,43,17,10,0,2,11,11,3395,2,0,1,10,378,1286,9,0,2,4,6,505,222,204
27,18,40,31,14,34,11,0,3,12,12,3396,3,0,0,11,379,1287,10,1,3,5,7,506,321,164
15,24,14,5,27,49,12,0,0,13,13,3397,0,1,1,12,380,1288,11,0,4,6,8,507,032,134
17,30,35,23,6,12,13,0,0,14,14,3398,0,2,2,13,381,1289,12,0,0,7,9,508,033,123
49,23,21,4,41,35,14,1,1,15,15,3399,1,3,3,14,382,1290,13,0,0,8,10,509,113,173
37,34,18,42,47,19,15,0,2,16,16,3400,2,0,0,15,383,1291,14,1,1,9,11,510,321,197
19,37,49,28,4,26,0,1,3,17,17,3401,3,0,0,0,384,1292,15,2,2,10,12,511,401,163
41,37,45,43,22,40,1,2,4,18,18,3402,4,0,0,0,385,1293,16,3,3,11,13,512,411,228
7,24,43,49,18,44,2,0,5,19,19,3403,5,0,1,1,386,1294,17,4,4,12,14,513,221,185
15,26,48,38,41,10,3,0,6,20,20,3404,6,1,2,2,387,1295,18,0,0,13,15,514,123,178
17,16,18,42,8,9,4,0,0,21,21,3405,7,2,3,3,388,1296,19,0,1,14,16,515,132,110
32,4,11,9,33,8,5,0,1,22,22,3406,8,3,4,4,389,1297,20,0,0,15,17,516,123,97
7,41,32,2,8,24,6,1,2,23,23,3407,9,4,5,5,390,1298,21,0,0,0,18,517,114,114
19,23,16,46,37,49,0,2,3,24,24,3408,10,0,0,0,391,1299,22,1,1,1,19,518,401,190
34,26,30,8,1,27,1,0,4,25,25,3409,11,0,1,1,392,1300,23,0,2,2,20,519,222,126
33,26,45,10,7,30,2,0,0,26,26,3410,12,0,2,2,393,1301,24,1,3,3,21,520,231,151
24,47,26,38,18,41,3,0,1,27,27,3411,0,1,3,3,394,1302,25,0,0,0,22,521,024,194
28,11,37,7,27,19,22,2,2,2,30,3515,8,0,0,0,498,1406,4,1,1,1,43,625,411,129
23,28,47,25,19,33,23,3,3,3,31,3516,9,0,0,1,499,1407,5,0,2,2,44,626,312,175
44,22,46,4,20,13,0,4,4,4,32,3517,10,0,0,0,500,1408,6,0,3,3,45,627,402,149
7,16,47,22,4,15,1,5,5,5,33,3518,11,0,0,0,501,1409,7,1,4,4,46,628,411,111
26,3,32,45,36,4,2,0,0,6,34,3519,12,1,1,1,502,1410,8,0,5,5,47,629,132,146
1,17,10,40,4,37,0,1,1,7,35,3520,13,0,0,0,0,1411,9,1,6,6,48,630,501,109
3,37,47,33,45,48,1,0,0,0,36,3521,14,1,1,1,1,1412,10,2,7,7,49,631,141,213
43,18,10,23,37,11,2,1,1,1,37,3522,15,0,0,2,2,1413,11,0,8,8,50,632,312,142
9,48,5,6,27,15,3,0,0,0,0,3523,0,1,1,3,3,1414,12,1,9,9,51,633,051,110
36,5,37,34,38,48,4,0,1,1,1,3524,1,0,2,4,4,1415,13,0,10,10,52,634,222,198
7,11,2,6,29,22,5,1,2,2,2,3525,2,0,3,5,5,1416,14,0,0,11,53,635,213,77
21,3,16,24,12,14,6,0,0,0,3,3526,3,1,4,6,6,1417,15,1,1,12,54,636,141,90
12,8,32,48,37,35,7,0,1,1,4,3527,4,2,5,7,7,1418,16,0,0,13,55,637,123,172
4,9,20,43,13,7,8,1,2,2,5,3528,5,0,0,0,8,1419,17,1,1,14,56,638,411,96
17,19,46,49,44,6,9,2,3,3,6,3529,6,0,1,1,9,1420,18,0,2,15,57,639,212,181
23,20,39,6,42,3,10,0,0,0,7,3530,0,1,2,2,10,1421,19,0,3,16,58,640,042,133
45,44,42,39,48,15,11,0,0,0,0,3531,0,2,3,3,11,1422,20,1,4,17,59,641,051,233
17,37,4,48,39,46,12,0,1,1,1,3532,1,0,0,4,12,1423,21,2,5,18,60,642,321,191
44,38,32,33,37,25,13,1,2,2,2,3533,2,0,1,5,13,1424,22,0,0,19,61,643,213,209
1,8,15,35,17,25,14,2,3,3,3,3534,3,0,2,6,14,1425,23,0,0,20,62,644,213,101
13,25,9,40,47,7,15,3,4,4,4,3535,4,0,0,0,15,1426,24,1,1,21,63,645,411,141
15,40,28,38,12,19,16,0,5,5,5,3536,5,0,0,1,16,1427,25,2,2,22,64,646,321,152
26,23,4,28,37,48,17,1,6,6,6,3537,6,0,0,2,17,1428,26,0,3,23,65,647,312,166
22,38,41,7,44,21,18,2,7,7,7,3538,7,0,1,3,18,1429,27,0,0,24,66,648,213,173
44,47,40,41,4,17,0,3,8,8,8,3539,8,0,2,4,19,1430,28,0,0,0,67,649,204,193
32,22,23,2,21,10,1,4,9,9,9,3540,9,0,3,5,20,1431,29,0,0,1,68,650,213,110
19,22,15,36,46,9,2,0,0,10,10,3541,10,0,0,6,21,1432,0,1,1,2,69,651,330,147
35,44,1,32,36,42,3,0,1,11,11,3542,11,1,1,7,22,1433,1,0,0,3,70,652,123,190
4,45,47,37,21,33,4,0,0,12,12,3543,12,0,2,8,23,1434,2,1,1,4,71,653,231,187
1,5,29,12,24,17,5,0,1,13,13,3544,13,1,3,9,24,1435,3,0,0,5,72,654,123,88
15,32,9,3,14,43,6,0,0,14,14,3545,14,2,4,10,25,1436,4,0,1,6,73,655,132,116
31,42,22,49,12,33,7,0,0,15,15,3546,15,0,5,11,26,1437,0,1,2,7,74,656,230,189
10,31,21,22,11,45,8,0,1,16,16,3547,16,0,0,12,27,1438,1,2,3,8,75,657,321,140
33,37,19,8,45,12,9,0,0,17,17,3548,17,0,1,13,28,1439,2,3,4,9,76,658,231,154
23,49,4,7,29,6,10,1,1,18,18,3549,18,0,2,14,29,1440,3,0,5,10,77,659,212,118
9,38,17,42,28,23,11,0,2,19,19,3550,19,1,3,15,30,1441,4,0,0,11,78,660,123,157
44,26,46,49,24,13,12,1,3,20,20,3551,20,0,4,16,31,1442,5,0,1,12,79,661,212,202
46,48,26,38,20,17,13,2,4,21,21,3552,21,1,5,17,32,1443,6,0,0,0,80,662,114,195
24,33,43,18,19,36,14,0,0,0,22,3553,22,0,6,18,33,1444,0,1,1,1,81,663,240,173
2,49,35,23,48,41,15,1,1,1,23,3554,0,1,7,19,34,1445,1,0,0,0,82,664,014,198
7,18,49,5,32,3,16,0,2,2,24,3555,1,2,8,20,35,1446,2,0,1,1,83,665,122,114
36,48,3,23,26,40,17,0,0,3,25,3556,2,3,9,21,36,1447,3,0,2,2,84,666,132,176
49,15,38,23,5,17,18,1,1,4,26,3557,0,4,10,22,37,1448,4,0,0,0,85,667,014,147
32,5,20,48,1,38,19,2,2,5,27,3558,1,5,11,23,38,1449,5,0,0,0,86,668,114,144
13,26,9,20,27,41,20,0,3,6,28,3559,2,6,12,24,39,1450,6,0,0,1,87,669,123,136
6,22,25,23,43,14,21,1,4,7,29,3560,3,0,0,25,40,1451,7,0,1,2,88,670,312,133
47,28,40,26,8,30,22,2,5,8,30,3561,4,0,1,26,41,1452,8,0,0,3,89,671,213,179
4,32,31,12,25,8,23,3,6,9,31,3562,5,0,0,27,42,1453,9,0,1,4,90,672,312,112
21,25,37,38,28,35,24,4,7,10,32,3563,6,0,0,28,43,1454,10,0,2,5,91,673,312,184
17,16,12,37,10,22,25,5,8,11,33,3564,7,0,0,0,44,1455,11,1,3,6,92,674,411,114
3,26,4,37,5,32,26,6,9,12,34,3565,8,0,1,1,45,1456,12,0,0,7,93,675,213,107
39,9,38,1,29,37,27,0,10,13,35,3566,9,0,2,2,46,1457,13,0,1,8,94,676,222,153
39,48,27,30,43,36,28,0,0,0,0,3567,10,1,3,3,47,1458,0,1,2,9,95,677,150,223
25,39,19,49,33,21,29,0,0,1,1,3568,11,0,4,4,48,1459,0,2,3,10,96,678,230,186
49,31,15,14,4,3,30,0,1,2,2,3569,12,0,5,5,49,1460,1,3,4,11,97,679,221,116
35,46,31,48,40,32,31,1,2,3,3,3570,13,0,0,6,50,1461,2,0,5,12,98,680,312,232
41,18,12,42,21,11,32,0,0,0,4,3571,0,1,1,7,51,1462,3,0,6,13,99,681,042,145
46,30,10,28,9,15,33,0,0,1,5,3572,1,0,0,8,52,1463,0,1,7,14,100,682,330,138
46,30,10,28,9,15,33,0,0,1,5,3572,1,0,0,8,52,1463,0,1,7,14,100,682,330,138
