
logo
League 6213	
ResultsLeague Table
EVE	4-1	ARS
BRI	4-0	TOT
WEEK 20   18:58:00
LEI	1-1	TOT
LIV	2-3	ARS
BRI	1-1	NWC
FOR	3-0	ASV
MNC	4-2	WHU
LEE	0-1	SOU
EVE	3-1	MNU
FUL	1-2	WOL
BOU	1-2	CHE
BRN	3-1	CRY
WEEK 21   19:00:00
TOT	0-0	LEE
ASV	2-1	BRN
BRI	2-1	LIV
SOU	1-2	BOU
CRY	1-2	MNC
NWC	2-2	LEI
CHE	4-0	FUL
WHU	3-0	EVE
WOL	2-1	FOR
MNU	1-2	ARS
WEEK 22   19:02:00
MNC	4-0	ASV
LIV	1-3	MNU
ARS	2-2	WHU
LEI	1-0	BRI
EVE	4-1	CRY
LEE	1-3	NWC
FOR	2-3	CHE
BOU	2-1	TOT
BRN	1-0	WOL
FUL	0-2	SOU
WEEK 23   19:04:00
TOT	1-1	FUL
WHU	1-2	MNU
NWC	1-0	BOU
WOL	1-2	MNC
LEI	1-4	LIV
ASV	2-1	EVE
SOU	1-1	FOR
CHE	1-3	BRN
CRY	1-2	ARS
BRI	2-1	LEE
WEEK 24   19:06:00
MNC	1-1	CHE
MNU	0-0	CRY
LIV	1-0	WHU
FUL	2-0	NWC
FOR	3-1	TOT
BOU	1-2	BRI
EVE	2-1	WOL
ARS	5-0	ASV
BRN	1-1	SOU
LEE	1-3	LEI
WEEK 25   19:08:00
SOU	0-1	MNC
WOL	2-1	ARS
CHE	3-1	EVE
CRY	0-2	WHU
TOT	0-0	BRN
NWC	1-0	FOR
ASV	1-1	MNU
LEI	4-0	BOU
LEE	0-4	LIV
BRI	1-1	FUL
WEEK 26   19:10:00
FOR	1-3	BRI
EVE	1-2	SOU
BOU	2-1	LEE
ARS	3-1	CHE
WHU	2-1	ASV
BRN	1-2	NWC
LIV	2-2	CRY
FUL	1-1	LEI
MNC	2-2	TOT
MNU	3-3	WOL
WEEK 27   19:12:00
WOL	0-0	WHU
BOU	2-0	LIV
LEI	1-0	FOR
SOU	0-1	ARS
ASV	2-1	CRY
NWC	0-1	MNC
BRI	3-0	BRN
LEE	1-0	FUL
TOT	2-2	EVE
CHE	1-5	MNU
WEEK 28   19:14:00
MNC	0-0	BRI
FUL	2-0	BOU
MNU	6-0	SOU
ARS	0-2	TOT
FOR	1-2	LEE
LIV	2-0	ASV
EVE	1-2	NWC
BRN	4-0	LEI
WHU	2-1	CHE
CRY	3-1	WOL
WEEK 29   19:16:00
FUL	0-2	LIV
LEI	2-4	MNC
SOU	0-2	WHU
WOL	0-1	ASV
TOT	2-0	MNU
CHE	1-2	CRY
LEE	1-1	BRN
BOU	1-0	FOR
BRI	2-1	EVE
NWC	1-4	ARS
WEEK 30   19:18:00
EVE	2-2	LEI
ASV	1-0	CHE
MNU	3-0	NWC
BRN	4-2	BOU
CRY	0-1	SOU
WHU	3-3	TOT
MNC	3-1	LEE
ARS	1-0	BRI
FOR	3-1	FUL
LIV	1-1	WOL
WEEK 31   19:20:00
NWC	0-0	WHU
CHE	2-0	WOL
LEI	2-0	ARS
TOT	4-0	CRY
SOU	1-1	ASV
FOR	1-2	LIV
BRI	2-3	MNU
FUL	1-0	BRN
LEE	1-4	EVE
BOU	0-3	MNC
WEEK 32   19:22:00
WHU	3-1	BRI
WOL	5-1	SOU
LIV	2-0	CHE
CRY	1-1	NWC
ARS	3-3	LEE
ASV	0-0	TOT
MNC	2-1	FUL
BRN	1-0	FOR
MNU	3-1	LEI
EVE	2-1	BOU
WEEK 33   19:24:00
LEI	2-2	WHU
FUL	0-1	EVE
FOR	2-2	MNC
NWC	2-2	ASV
SOU	1-0	CHE
BRI	1-0	CRY
BRN	1-1	LIV
BOU	0-1	ARS
LEE	4-2	MNU
TOT	1-3	WOL
WEEK 34   19:26:00
CRY	2-0	LEI
WOL	1-4	NWC
ARS	4-1	FUL
ASV	0-0	BRI
CHE	3-2	TOT
MNC	2-0	BRN
MNU	2-2	BOU
EVE	2-1	FOR
LIV	0-0	SOU
WHU	2-0	LEE
WEEK 35   19:28:00
FOR	2-2	ARS
BRN	2-3	EVE
BOU	1-0	WHU
TOT	3-1	SOU
LEE	4-2	CRY
MNC	2-0	LIV
NWC	2-4	CHE
FUL	3-2	MNU
LEI	3-0	ASV
BRI	2-2	WOL
WEEK 36   19:30:00
MNU	3-0	FOR
ASV	2-1	LEE
EVE	3-3	MNC
ARS	0-0	BRN
WOL	0-3	LEI
CRY	2-0	BOU
SOU	0-3	NWC
LIV	1-2	TOT
WHU	2-1	FUL
CHE	1-2	BRI
WEEK 37   19:32:00
EVE	0-1	LIV
LEE	3-3	WOL
NWC	1-2	TOT
MNC	1-0	ARS
BRN	4-1	MNU
BRI	2-0	SOU
FOR	1-1	WHU
LEI	1-2	CHE
BOU	2-2	ASV
FUL	1-0	CRY
WEEK 38   19:34:00
WHU	1-1	BRN
CHE	1-0	LEE
ARS	1-5	EVE
LIV	1-4	NWC
TOT	0-0	BRI
CRY	1-3	FOR
SOU	1-0	LEI
WOL	2-0	BOU
MNU	0-1	MNC
ASV	2-0	FUL
