
logo
League 6169	
ResultsLeague Table
EVE	0-4	WHU
WEEK 29   11:32:00
FUL	1-1	ARS
WHU	4-0	WOL
CHE	2-0	CRY
NWC	1-0	BRN
SOU	1-0	MNU
TOT	1-0	LEE
LIV	2-0	ASV
FOR	0-3	LEI
BOU	1-3	EVE
BRI	0-6	MNC
WEEK 30   11:34:00
CRY	1-3	TOT
ARS	1-1	NWC
WOL	2-0	BOU
BRN	0-1	LIV
MNC	4-0	FOR
MNU	1-0	CHE
LEI	2-2	FUL
EVE	0-0	BRI
LEE	0-2	WHU
ASV	3-0	SOU
WEEK 31   11:36:00
FOR	2-2	EVE
WHU	3-1	CRY
BRI	1-0	WOL
TOT	2-2	MNU
BOU	1-1	LEE
ARS	2-0	BRN
NWC	3-3	LEI
CHE	0-1	ASV
SOU	0-2	LIV
FUL	1-3	MNC
WEEK 32   11:38:00
EVE	1-0	FUL
ASV	1-0	TOT
MNC	1-2	NWC
LIV	1-0	CHE
LEI	2-2	ARS
WOL	0-1	FOR
CRY	0-0	BOU
LEE	1-0	BRI
MNU	1-1	WHU
BRN	1-0	SOU
WEEK 33   11:40:00
ARS	1-2	MNC
FOR	0-0	LEE
WHU	3-2	ASV
LEI	0-2	BRN
TOT	0-2	LIV
NWC	2-3	EVE
FUL	2-4	WOL
BOU	1-1	MNU
BRI	2-2	CRY
CHE	2-1	SOU
WEEK 34   11:42:00
MNU	2-2	BRI
LIV	0-1	WHU
ASV	1-1	BOU
WOL	1-0	NWC
EVE	0-1	ARS
CRY	1-0	FOR
SOU	1-3	TOT
MNC	4-1	LEI
BRN	3-3	CHE
LEE	1-1	FUL
WEEK 35   11:44:00
NWC	2-1	LEE
MNC	3-1	BRN
FUL	0-0	CRY
LEI	1-0	EVE
BRI	1-0	ASV
BOU	1-1	LIV
WHU	4-1	SOU
ARS	1-0	WOL
FOR	3-2	MNU
TOT	0-2	CHE
WEEK 36   11:46:00
CRY	2-1	NWC
LEE	0-2	ARS
WOL	1-0	LEI
EVE	1-2	MNC
SOU	2-1	BOU
CHE	1-1	WHU
LIV	0-1	BRI
MNU	2-0	FUL
BRN	0-1	TOT
ASV	1-0	FOR
WEEK 37   11:48:00
WHU	1-0	TOT
NWC	1-3	MNU
EVE	1-0	BRN
BOU	1-2	CHE
FUL	2-2	ASV
FOR	1-1	LIV
MNC	3-1	WOL
ARS	2-1	CRY
LEI	0-0	LEE
BRI	0-0	SOU
WEEK 38   11:50:00
CHE	2-2	BRI
MNU	3-1	ARS
SOU	2-0	FOR
BRN	0-0	WHU
WOL	3-2	EVE
CRY	1-1	LEI
ASV	3-0	NWC
LEE	1-3	MNC
LIV	3-0	FUL
TOT	1-1	BOU
