logo
League 6192	
ResultsLeague Table
LIV	1-2	CHE
NWC	0-1	EVE
WEEK 21   16:24:00
WHU	1-2	LIV
BRI	4-0	NWC
BOU	3-1	FOR
LEE	2-3	ARS
CRY	0-4	LEI
CHE	3-1	SOU
EVE	1-2	FUL
TOT	0-0	ASV
BRN	2-4	MNC
WOL	0-2	MNU
WEEK 22   16:26:00
FUL	1-1	BRI
MNC	4-1	CHE
LEI	2-1	TOT
ARS	1-1	EVE
NWC	1-2	WOL
ASV	1-1	LEE
MNU	3-0	BRN
FOR	1-1	CRY
LIV	3-1	BOU
SOU	0-2	WHU
WEEK 23   16:28:00
WOL	2-1	FUL
CHE	1-0	BRN
CRY	0-3	LIV
WHU	1-2	MNC
BOU	2-0	SOU
LEE	1-0	LEI
BRI	2-3	ARS
NWC	1-2	MNU
EVE	4-1	ASV
TOT	2-2	FOR
WEEK 24   16:30:00
BRN	0-0	WHU
ASV	2-4	BRI
FOR	2-1	LEE
ARS	3-2	WOL
SOU	1-2	CRY
LEI	2-2	EVE
MNC	3-1	BOU
MNU	2-0	CHE
LIV	2-1	TOT
FUL	0-0	NWC
WEEK 25   16:32:00
LEE	0-1	LIV
TOT	2-1	SOU
WOL	1-2	ASV
WHU	4-1	CHE
FUL	1-1	MNU
EVE	0-1	FOR
BRI	1-2	LEI
NWC	1-1	ARS
CRY	3-3	MNC
BOU	2-2	BRN
WEEK 26   16:34:00
MNU	3-2	WHU
ASV	4-0	NWC
MNC	3-0	TOT
BRN	1-5	CRY
FOR	0-2	BRI
SOU	1-0	LEE
ARS	1-0	FUL
LEI	1-0	WOL
LIV	5-0	EVE
CHE	3-1	BOU
WEEK 27   16:36:00
NWC	1-2	LEI
FUL	1-2	ASV
BRI	0-1	LIV
CRY	0-2	CHE
ARS	1-0	MNU
TOT	2-2	BRN
EVE	2-0	SOU
LEE	1-3	MNC
BOU	0-1	WHU
WOL	1-2	FOR
WEEK 28   16:38:00
LEI	3-0	FUL
SOU	2-1	BRI
WHU	3-1	CRY
ASV	1-3	ARS
LIV	4-1	WOL
FOR	1-1	NWC
MNC	0-4	EVE
MNU	0-1	BOU
CHE	0-1	TOT
BRN	1-3	LEE
WEEK 29   16:40:00
EVE	1-2	BRN
LEE	1-2	CHE
NWC	0-1	LIV
ARS	1-3	LEI
TOT	4-0	WHU
BRI	0-1	MNC
ASV	2-2	MNU
WOL	2-1	SOU
CRY	1-1	BOU
FUL	0-4	FOR
WEEK 30   16:42:00
MNC	1-2	WOL
MNU	6-0	CRY
SOU	2-0	NWC
BOU	0-5	TOT
FOR	2-2	ARS
LEI	2-0	ASV
WHU	1-1	LEE
CHE	3-0	EVE
BRN	1-1	BRI
LIV	2-1	FUL
WEEK 31   16:44:00
LEI	3-1	MNU
WOL	1-0	BRN
EVE	0-2	WHU
LEE	2-0	BOU
ASV	2-0	FOR
NWC	1-1	MNC
ARS	1-0	LIV
FUL	1-0	SOU
BRI	1-1	CHE
TOT	2-2	CRY
WEEK 32   16:46:00
WHU	1-0	BRI
CRY	0-3	LEE
BOU	1-0	EVE
LIV	1-1	ASV
MNC	3-1	FUL
FOR	1-1	LEI
CHE	2-2	WOL
BRN	2-4	NWC
MNU	2-0	TOT
SOU	1-1	ARS
WEEK 33   16:48:00
ARS	1-2	MNC
BRI	1-2	BOU
WOL	0-1	WHU
LEE	2-1	TOT
ASV	0-2	SOU
LEI	2-0	LIV
FOR	1-1	MNU
EVE	0-0	CRY
FUL	2-2	BRN
NWC	2-2	CHE
WEEK 34   16:50:00
BRN	0-3	ARS
CHE	2-0	FUL
MNU	3-1	LEE
LIV	6-0	FOR
SOU	2-0	LEI
CRY	1-1	BRI
WHU	2-2	NWC
MNC	2-0	ASV
TOT	4-1	EVE
BOU	0-1	WOL
WEEK 35   16:52:00
FOR	1-0	SOU
LIV	2-2	MNU
LEI	1-0	MNC
EVE	0-0	LEE
WOL	1-1	CRY
ASV	1-1	BRN
BRI	1-1	TOT
ARS	0-0	CHE
NWC	5-0	BOU
FUL	0-2	WHU
WEEK 36   16:54:00
BRN	0-1	LEI
CHE	3-2	ASV
MNU	3-2	EVE
TOT	2-0	WOL
MNC	2-1	FOR
WHU	1-0	ARS
SOU	1-2	LIV
BOU	1-1	FUL
CRY	2-1	NWC
LEE	0-1	BRI
WEEK 37   16:56:00
NWC	1-1	TOT
SOU	0-4	MNU
ARS	2-3	BOU
LIV	1-4	MNC
FOR	0-3	BRN
FUL	2-1	CRY
ASV	2-1	WHU
LEI	0-0	CHE
BRI	1-0	EVE
WOL	2-1	LEE
WEEK 38   16:58:00
LEE	0-2	NWC
WHU	0-1	LEI
BOU	0-2	ASV
BRN	0-3	LIV
TOT	2-0	FUL
CRY	2-2	ARS
CHE	4-0	FOR
MNC	5-1	SOU
MNU	1-0	BRI
EVE	1-1	WOL
