logo
League 6227	
ResultsLeague Table
ARS	0-0	CHE
MNU	3-1	LEI
TOT	1-2	FOR
WEEK 18   12:38:00
BRN	0-2	CRY
MNC	4-0	LEE
ARS	1-1	FUL
NWC	1-0	TOT
BOU	1-3	BRI
LEI	0-0	WHU
FOR	0-0	MNU
CHE	1-0	WOL
ASV	0-0	SOU
LIV	3-1	EVE
WEEK 19   12:40:00
CRY	1-2	ARS
EVE	0-0	ASV
LEE	1-1	BRN
SOU	1-0	BOU
FUL	3-1	CHE
BRI	2-3	LEI
WOL	0-1	LIV
MNU	0-1	NWC
WHU	1-1	FOR
TOT	0-1	MNC
WEEK 20   12:42:00
WHU	2-1	NWC
MNU	0-2	MNC
LEE	2-2	ARS
EVE	5-0	BOU
CRY	3-3	FUL
SOU	2-1	LEI
TOT	0-0	BRN
WOL	1-2	ASV
CHE	0-2	LIV
BRI	2-2	FOR
WEEK 21   12:44:00
CRY	2-0	CHE
ARS	2-2	TOT
BRN	3-2	MNU
MNC	3-2	WHU
FOR	1-1	SOU
ASV	1-4	LIV
BOU	0-0	WOL
FUL	1-2	LEE
LEI	2-0	EVE
NWC	3-0	BRI
WEEK 22   12:46:00
TOT	0-2	FUL
MNU	3-2	ARS
LIV	4-1	BOU
SOU	2-3	NWC
CHE	0-3	ASV
LEE	5-1	CRY
EVE	1-0	FOR
BRI	0-0	MNC
WHU	1-3	BRN
WOL	1-1	LEI
WEEK 23   12:48:00
NWC	1-0	EVE
MNC	4-1	SOU
BOU	0-0	ASV
LEE	1-1	CHE
ARS	1-0	WHU
FUL	1-0	MNU
CRY	2-2	TOT
LEI	0-1	LIV
FOR	1-2	WOL
BRN	0-2	BRI
WEEK 24   12:50:00
WOL	2-2	NWC
SOU	2-0	BRN
MNU	1-0	CRY
ASV	0-0	LEI
LIV	6-0	FOR
BRI	1-1	ARS
CHE	3-1	BOU
EVE	2-3	MNC
TOT	2-3	LEE
WHU	0-2	FUL
WEEK 25   12:52:00
CRY	1-2	WHU
MNC	1-1	WOL
NWC	4-2	LIV
BRN	0-1	EVE
FOR	0-1	ASV
LEE	1-1	MNU
ARS	2-1	SOU
TOT	0-1	CHE
FUL	0-2	BRI
LEI	3-1	BOU
WEEK 26   12:54:00
MNU	2-3	TOT
WOL	2-2	BRN
CHE	1-5	LEI
BRI	0-1	CRY
ASV	3-1	NWC
LIV	2-0	MNC
WHU	2-0	LEE
BOU	1-3	FOR
SOU	0-2	FUL
EVE	0-4	ARS
WEEK 27   12:56:00
BRN	2-2	LIV
MNU	1-2	CHE
FOR	0-1	LEI
TOT	2-2	WHU
NWC	0-0	BOU
CRY	2-0	SOU
FUL	2-0	EVE
MNC	3-1	ASV
LEE	1-3	BRI
ARS	1-3	WOL
WEEK 28   12:58:00
ASV	2-3	BRN
WOL	0-1	FUL
WHU	3-1	MNU
BOU	2-0	MNC
SOU	1-1	LEE
LEI	1-2	NWC
EVE	0-0	CRY
BRI	1-1	TOT
LIV	2-1	ARS
CHE	4-0	FOR
WEEK 29   13:00:00
CRY	2-0	WOL
LEE	3-0	EVE
NWC	3-0	FOR
MNC	2-1	LEI
MNU	2-1	BRI
FUL	0-1	LIV
WHU	1-2	CHE
ARS	3-2	ASV
BRN	2-1	BOU
TOT	3-2	SOU
WEEK 30   13:02:00
LEI	2-0	BRN
LIV	2-0	CRY
EVE	2-1	TOT
SOU	1-1	MNU
BOU	3-2	ARS
CHE	0-2	NWC
BRI	1-0	WHU
WOL	0-0	LEE
FOR	0-0	MNC
ASV	1-0	FUL
WEEK 31   13:04:00
MNC	1-2	NWC
BRN	1-0	FOR
TOT	2-1	WOL
ARS	0-0	LEI
LEE	2-2	LIV
FUL	2-1	BOU
MNU	2-1	EVE
CRY	0-2	ASV
WHU	1-1	SOU
BRI	1-0	CHE
WEEK 32   13:06:00
BOU	2-0	CRY
FOR	1-4	ARS
LIV	2-0	TOT
CHE	1-1	MNC
LEI	1-1	FUL
ASV	3-2	LEE
SOU	4-1	BRI
WOL	1-2	MNU
NWC	2-0	BRN
EVE	1-1	WHU
WEEK 33   13:08:00
SOU	0-4	CHE
BRN	0-1	MNC
WHU	0-1	WOL
LEE	1-1	BOU
CRY	1-3	LEI
MNU	0-1	LIV
FUL	0-0	FOR
BRI	3-2	EVE
TOT	3-2	ASV
ARS	0-0	NWC
WEEK 34   13:10:00
LIV	0-0	WHU
CHE	2-2	BRN
WOL	4-2	BRI
BOU	0-2	TOT
LEI	0-1	LEE
MNC	2-3	ARS
ASV	1-1	MNU
FOR	2-1	CRY
NWC	3-0	FUL
EVE	0-2	SOU
WEEK 35   13:12:00
FUL	0-3	MNC
CRY	0-5	NWC
EVE	0-2	CHE
SOU	1-1	WOL
ARS	3-1	BRN
WHU	3-1	ASV
TOT	1-0	LEI
MNU	4-2	BOU
LEE	0-2	FOR
BRI	2-4	LIV
WEEK 36   13:14:00
NWC	5-1	LEE
BRN	2-1	FUL
LIV	3-2	SOU
BOU	1-1	WHU
LEI	2-1	MNU
MNC	2-1	CRY
CHE	2-2	ARS
ASV	1-4	BRI
WOL	0-2	EVE
FOR	1-1	TOT
WEEK 37   13:16:00
BRI	1-0	BOU
CRY	2-1	BRN
TOT	3-1	NWC
LEE	0-3	MNC
EVE	2-3	LIV
MNU	1-2	FOR
WOL	2-3	CHE
SOU	1-1	ASV
WHU	4-1	LEI
FUL	0-1	ARS
WEEK 38   13:18:00
FOR	1-2	WHU
NWC	2-2	MNU
CHE	2-1	FUL
MNC	1-1	TOT
ASV	3-0	EVE
ARS	1-0	CRY
LEI	3-1	BRI
LIV	2-0	WOL
BRN	1-2	LEE
BOU	0-0	SOU
