
logo
League 6170	
ResultsLeague Table
ASV	1-3	EVE
BRN	0-3	LEI
MNU	2-0	CHE
MNC	4-1	FUL
TOT	0-0	ARS
WEEK 25   12:40:00
LEI	0-1	MNC
SOU	1-2	TOT
WOL	2-1	ASV
ARS	1-1	EVE
BOU	0-0	MNU
NWC	0-3	CRY
BRI	1-1	LEE
FOR	0-4	LIV
CHE	4-1	BRN
FUL	1-5	WHU
WEEK 26   12:42:00
LIV	0-0	FUL
CRY	1-2	FOR
WHU	3-1	LEI
ASV	0-3	ARS
EVE	0-0	SOU
MNC	0-3	CHE
TOT	1-0	NWC
LEE	0-0	WOL
BRN	2-0	BOU
MNU	1-0	BRI
WEEK 27   12:44:00
WOL	2-2	MNU
FUL	1-1	CRY
NWC	0-1	EVE
LEI	1-1	LIV
LEE	2-1	ASV
BOU	1-1	MNC
BRI	1-1	BRN
CHE	3-0	WHU
SOU	1-0	ARS
FOR	2-4	TOT
WEEK 28   12:46:00
LIV	2-0	CHE
CRY	1-2	LEI
BRN	0-0	WOL
MNU	2-1	LEE
TOT	2-2	FUL
MNC	2-0	BRI
WHU	0-1	BOU
ARS	1-1	NWC
ASV	1-1	SOU
EVE	1-1	FOR
WEEK 29   12:48:00
LEI	1-1	TOT
MNU	1-0	ASV
NWC	4-0	SOU
FOR	2-1	ARS
BRI	2-2	WHU
FUL	1-2	EVE
BOU	2-4	LIV
WOL	2-2	MNC
LEE	1-0	BRN
CHE	2-1	CRY
WEEK 30   12:50:00
LIV	3-0	BRI
ASV	1-1	NWC
TOT	0-1	CHE
MNC	0-2	LEE
WHU	3-0	WOL
SOU	3-1	FOR
EVE	3-3	LEI
ARS	0-2	FUL
CRY	2-2	BOU
BRN	2-1	MNU
WEEK 31   12:52:00
FUL	1-2	SOU
MNU	0-1	MNC
CHE	0-0	EVE
FOR	0-2	NWC
BOU	0-0	TOT
BRN	2-1	ASV
BRI	1-3	CRY
WOL	3-0	LIV
LEE	3-3	WHU
LEI	1-0	ARS
WEEK 32   12:54:00
EVE	2-1	BOU
NWC	2-0	FUL
WHU	2-2	MNU
ASV	2-1	FOR
LIV	2-0	LEE
CRY	0-3	WOL
ARS	0-2	CHE
SOU	1-1	LEI
MNC	1-1	BRN
TOT	1-1	BRI
WEEK 33   12:56:00
LEE	1-2	CRY
FUL	1-2	FOR
MNU	0-1	LIV
MNC	3-2	ASV
BOU	1-1	ARS
LEI	1-0	NWC
BRI	4-0	EVE
BRN	0-0	WHU
CHE	1-0	SOU
WOL	0-3	TOT
WEEK 34   12:58:00
FOR	0-1	LEI
NWC	2-2	CHE
TOT	2-0	LEE
WHU	0-2	MNC
ASV	1-1	FUL
SOU	0-0	BOU
CRY	1-2	MNU
ARS	2-1	BRI
LIV	2-0	BRN
EVE	1-1	WOL
WEEK 35   13:00:00
CHE	2-0	FOR
LEI	0-0	FUL
WOL	1-0	ARS
BRI	0-1	SOU
WHU	0-0	ASV
MNC	1-2	LIV
MNU	0-3	TOT
BRN	0-2	CRY
BOU	0-1	NWC
LEE	1-0	EVE
WEEK 36   13:02:00
TOT	2-2	BRN
EVE	1-1	MNU
CRY	1-2	MNC
SOU	1-1	WOL
FOR	0-2	BOU
ARS	1-1	LEE
FUL	0-1	CHE
ASV	0-0	LEI
NWC	0-0	BRI
LIV	2-0	WHU
WEEK 37   13:04:00
WOL	3-1	NWC
LIV	4-1	ASV
MNU	2-0	ARS
LEE	2-0	SOU
BOU	1-1	FUL
BRI	2-1	FOR
WHU	3-1	CRY
CHE	3-0	LEI
BRN	2-1	EVE
MNC	2-1	TOT
WEEK 38   13:06:00
FUL	1-0	BRI
ARS	0-2	BRN
NWC	1-2	LEE
CRY	0-4	LIV
SOU	1-2	MNU
FOR	0-0	WOL
TOT	0-2	WHU
LEI	2-2	BOU
EVE	0-0	MNC
ASV	4-0	CHE
