
logo
League 6173	
ResultsLeague Table
FUL	1-3	WOL
LIV	2-2	WHU
MNC	2-2	BRI
ARS	0-1	BOU
FOR	1-3	CHE
MNU	4-0	TOT
WEEK 32   16:42:00
WOL	0-1	MNC
CHE	2-0	FUL
WHU	1-2	MNU
SOU	0-0	NWC
BRI	0-2	LIV
TOT	2-1	ARS
LEE	0-2	CRY
BRN	1-1	EVE
BOU	1-4	ASV
LEI	1-0	FOR
WEEK 33   16:44:00
FUL	2-2	LEI
LIV	1-1	WOL
ASV	2-2	ARS
FOR	2-3	LEE
EVE	3-0	SOU
WHU	2-3	TOT
CRY	2-1	BRN
MNU	2-1	BRI
NWC	2-1	BOU
MNC	1-1	CHE
WEEK 34   16:46:00
SOU	3-0	CRY
BRN	2-1	FOR
CHE	0-1	LIV
WOL	0-3	MNU
BOU	0-2	EVE
LEI	1-4	MNC
TOT	1-1	ASV
LEE	3-0	FUL
BRI	2-3	WHU
ARS	1-2	NWC
WEEK 35   16:48:00
EVE	1-0	ARS
LIV	2-1	LEI
MNU	3-1	CHE
MNC	3-2	LEE
WHU	3-1	WOL
FOR	1-1	SOU
CRY	2-1	BOU
FUL	1-3	BRN
BRI	2-2	TOT
NWC	0-1	ASV
WEEK 36   16:50:00
WOL	0-1	BRI
ARS	2-0	CRY
BOU	2-2	FOR
LEI	0-2	MNU
ASV	1-3	EVE
SOU	0-1	FUL
BRN	1-3	MNC
LEE	1-3	LIV
TOT	0-2	NWC
CHE	0-2	WHU
WEEK 37   16:52:00
MNU	2-0	LEE
CRY	1-0	ASV
FUL	4-1	BOU
LIV	2-1	BRN
WHU	3-1	LEI
FOR	0-1	ARS
MNC	2-0	SOU
WOL	1-3	TOT
BRI	2-2	CHE
EVE	0-1	NWC
WEEK 38   16:54:00
BOU	1-1	MNC
CHE	2-2	WOL
TOT	1-2	EVE
SOU	0-2	LIV
NWC	0-3	CRY
ARS	2-1	FUL
BRN	3-0	MNU
LEI	3-1	BRI
ASV	1-1	FOR
LEE	3-2	WHU
