logo
League 6226	
ResultsLeague Table
LEI	2-2	ASV
NWC	1-1	MNC
LIV	1-0	WHU
SOU	2-2	FUL
CRY	0-2	TOT
LEE	1-1	FOR
BOU	0-0	EVE
MNU	1-0	WOL
CHE	2-1	ARS
WEEK 31   11:48:00
WOL	0-2	ARS
MNC	3-1	LEE
FUL	2-1	CRY
TOT	0-2	LEI
BRI	1-2	MNU
NWC	0-1	CHE
WHU	3-0	SOU
FOR	1-0	LIV
EVE	0-0	BRN
ASV	3-0	BOU
WEEK 32   11:50:00
LEI	1-0	FUL
LEE	0-0	NWC
BRN	2-1	ASV
LIV	1-3	MNC
CHE	1-0	WOL
BOU	1-1	TOT
MNU	6-0	EVE
CRY	2-4	WHU
ARS	4-1	BRI
SOU	2-0	FOR
WEEK 33   11:52:00
LEE	1-2	CHE
MNC	4-0	SOU
EVE	2-1	ARS
BRI	0-1	WOL
NWC	0-3	LIV
ASV	0-1	MNU
FUL	2-1	BOU
TOT	0-0	BRN
WHU	0-0	LEI
FOR	2-1	CRY
WEEK 34   11:54:00
CHE	1-0	BRI
ARS	0-3	ASV
LIV	6-0	LEE
BRN	1-3	FUL
WOL	1-0	EVE
MNU	2-1	TOT
LEI	4-1	FOR
BOU	2-3	WHU
SOU	3-0	NWC
CRY	0-2	MNC
WEEK 35   11:56:00
LIV	2-0	CHE
MNC	2-1	LEI
NWC	3-0	CRY
WHU	2-3	BRN
LEE	3-1	SOU
TOT	1-1	ARS
ASV	1-1	WOL
FUL	1-3	MNU
EVE	1-1	BRI
FOR	2-1	BOU
WEEK 36   11:58:00
WOL	2-2	TOT
LEI	3-1	NWC
MNU	0-2	WHU
BOU	3-0	MNC
BRI	1-1	ASV
CRY	0-0	LEE
BRN	2-1	FOR
ARS	3-0	FUL
SOU	2-3	LIV
CHE	2-1	EVE
WEEK 37   12:00:00
ASV	3-1	EVE
FUL	2-0	WOL
MNC	4-1	BRN
TOT	5-1	BRI
LIV	1-1	CRY
FOR	1-2	MNU
WHU	2-1	ARS
NWC	1-1	BOU
LEE	1-1	LEI
SOU	1-3	CHE
WEEK 38   12:02:00
CRY	0-1	SOU
EVE	0-1	TOT
BRN	1-1	NWC
MNU	2-0	MNC
LEI	1-4	LIV
WOL	1-1	WHU
CHE	1-2	ASV
ARS	3-0	FOR
BOU	0-0	LEE
BRI	2-0	FUL
