logo
League 6153	
ResultsLeague Table
TOT	3-1	LIV
CHE	3-1	EVE
MNC	1-0	WOL
LEE	3-1	FOR
BOU	1-1	FUL
BRN	1-1	LEI
WHU	3-0	SOU
WEEK 32   15:22:00
EVE	2-1	ARS
BRI	4-2	ASV
NWC	2-0	WHU
WOL	1-2	TOT
LEI	1-1	BOU
MNU	2-1	BRN
SOU	1-2	LEE
FUL	2-3	CRY
LIV	0-1	CHE
FOR	0-1	MNC
WEEK 33   15:24:00
MNU	0-0	LEI
LEE	0-1	NWC
CHE	0-1	WOL
ASV	1-2	EVE
BRN	1-2	BRI
ARS	1-2	LIV
CRY	1-0	BOU
MNC	1-1	SOU
WHU	0-0	FUL
TOT	2-2	FOR
WEEK 34   15:26:00
FOR	3-0	CHE
EVE	1-1	BRN
WOL	2-3	ARS
LEI	1-2	CRY
BOU	0-2	WHU
SOU	0-1	TOT
FUL	0-3	LEE
NWC	0-1	MNC
BRI	0-1	MNU
LIV	2-2	ASV
WEEK 35   15:28:00
MNC	1-1	FUL
CHE	0-2	SOU
ARS	2-2	FOR
WHU	0-1	CRY
BRN	0-1	LIV
TOT	2-0	NWC
BRI	1-1	LEI
LEE	1-2	BOU
MNU	2-1	EVE
ASV	3-3	WOL
WEEK 36   15:30:00
LEI	2-2	WHU
CRY	3-3	LEE
LIV	2-1	MNU
FUL	0-2	TOT
WOL	2-0	BRN
NWC	1-0	CHE
BOU	0-5	MNC
SOU	0-2	ARS
EVE	2-1	BRI
FOR	0-0	ASV
WEEK 37   15:32:00
CHE	2-3	FUL
MNU	3-1	WOL
ASV	4-0	SOU
BRN	2-1	FOR
MNC	3-1	CRY
BRI	2-2	LIV
LEE	0-1	WHU
TOT	1-0	BOU
EVE	0-0	LEI
ARS	2-1	NWC
WEEK 38   15:34:00
LEI	2-2	LEE
WOL	2-1	BRI
SOU	1-2	BRN
CRY	3-1	TOT
LIV	2-2	EVE
BOU	1-4	CHE
WHU	1-3	MNC
NWC	3-1	ASV
FOR	0-0	MNU
FUL	2-1	ARS
